candle_state,total_count,prob_trend_up,prob_trend_down,prob_range_chop,avg_next_day_range_pct
Balanced_Neutral,370,0.15135135135135136,0.22162162162162163,0.6270270270270271,
Balanced_Neutral|Close_Near_High,161,0.16149068322981366,0.2236024844720497,0.6149068322981367,1.0129060416221194
Balanced_Neutral|Close_Near_Low,96,0.1875,0.10416666666666667,0.7083333333333334,1.046813992230084
Balanced_Neutral|Lower_Wick_Dominant,99,0.16161616161616163,0.1717171717171717,0.6666666666666666,1.2595606611918733
Balanced_Neutral|Lower_Wick_Dominant|Close_Near_High,51,0.0784313725490196,0.27450980392156865,0.6470588235294118,1.001687027218525
Balanced_Neutral|Upper_Wick_Dominant,37,0.16216216216216217,0.1891891891891892,0.6486486486486487,1.5495947266577115
Balanced_Neutral|Upper_Wick_Dominant|Close_Near_Low,34,0.20588235294117646,0.23529411764705882,0.5588235294117647,0.966095825334143
Compression,1,0.0,0.0,1.0,1.1087198515770051
Compression|Close_Near_Low,1,0.0,0.0,1.0,1.4176964903608518
Exhaustion_Rejection,204,0.1715686274509804,0.24019607843137256,0.5882352941176471,1.4638892709710956
Exhaustion_Rejection|Close_Near_High,5,0.4,0.0,0.6,1.060003645808282
Exhaustion_Rejection|Close_Near_Low,4,0.0,0.25,0.75,1.056212094816154
Exhaustion_Rejection|Lower_Wick_Dominant,106,0.2169811320754717,0.1509433962264151,0.6320754716981132,1.3675677149679433
Exhaustion_Rejection|Lower_Wick_Dominant|Close_Near_High,86,0.16279069767441862,0.2558139534883721,0.5697674418604651,1.123335815902231
Exhaustion_Rejection|Upper_Wick_Dominant,56,0.23214285714285715,0.30357142857142855,0.4642857142857143,1.4334679717263634
Exhaustion_Rejection|Upper_Wick_Dominant|Close_Near_Low,35,0.14285714285714285,0.3142857142857143,0.5428571428571428,1.380927265705857
Expansion,11,0.2727272727272727,0.09090909090909091,0.6363636363636364,1.4546366356172746
Expansion|Close_Near_High,8,0.125,0.125,0.75,0.8091080350503442
Expansion|Close_Near_Low,6,0.16666666666666666,0.0,0.8333333333333334,0.8100907629226383
Expansion|Lower_Wick_Dominant,24,0.20833333333333334,0.25,0.5416666666666666,1.092185977880353
Expansion|Lower_Wick_Dominant|Close_Near_High,1,1.0,0.0,0.0,0.6046445443679219
Expansion|Upper_Wick_Dominant,3,0.3333333333333333,0.0,0.6666666666666666,1.0985040491524212
Strong_Acceptance|Close_Near_High,161,0.13043478260869565,0.16770186335403728,0.7018633540372671,0.8697803246668117
Strong_Acceptance|Close_Near_Low,209,0.19138755980861244,0.1674641148325359,0.6411483253588517,0.954168045705423
